,short_name,cluster
0,L. Messi,2
1,Cristiano Ronaldo,2
2,Neymar Jr,2
3,J. Oblak,2
4,E. Hazard,2
5,K. De Bruyne,2
6,M. ter Stegen,2
7,V. van Dijk,2
8,L. Modrić,2
9,M. Salah,2
10,K. Mbappé,2
11,K. Koulibaly,2
12,H. Kane,2
13,Alisson,2
14,De Gea,2
15,N. Kanté,2
16,G. Chiellini,1
17,S. Agüero,2
18,Sergio Ramos,2
19,L. Suárez,2
20,R. Lewandowski,2
21,Sergio Busquets,2
22,A. Griezmann,2
23,P. Dybala,2
24,P. Pogba,2
25,Ederson,2
26,R. Sterling,2
27,C. Eriksen,2
28,T. Courtois,2
29,Piqué,2
30,S. Handanovič,1
31,M. Neuer,2
32,H. Lloris,2
33,David Silva,2
34,E. Cavani,2
35,D. Godín,1
36,T. Kroos,2
37,M. Reus,2
38,P. Aubameyang,2
39,S. Mané,2
40,A. Laporte,2
41,Bernardo Silva,2
42,Casemiro,2
43,H. Son,2
44,Fernandinho,1
45,Thiago Silva,1
46,K. Benzema,2
47,J. Vertonghen,2
48,D. Mertens,2
49,M. Hummels,2
50,T. Alderweireld,2
51,Jordi Alba,2
52,Thiago,2
53,K. Navas,2
54,L. Insigne,2
55,L. Sané,2
56,Marquinhos,2
57,M. Škriniar,2
58,M. Verratti,2
59,S. Umtiti,2
60,W. Szczęsny,2
61,J. Kimmich,2
62,Isco,2
63,Roberto Firmino,2
64,I. Rakitić,2
65,M. Pjanić,2
66,A. Di María,2
67,L. Bonucci,1
68,Coutinho,1
69,Parejo,2
70,T. Müller,2
71,C. Immobile,2
72,A. Lacazette,2
73,M. de Ligt,2
74,G. Donnarumma,2
75,F. de Jong,2
76,R. Varane,2
77,N. Süle,2
78,S. Milinković-Savić,2
79,Rodri,2
80,Saúl,2
81,Fabinho,2
82,A. Robertson,2
83,J. Giménez,2
84,C. Lenglet,2
85,Bruno Fernandes,2
86,A. Lopes,2
87,P. Gulácsi,2
88,R. Bürki,2
89,R. Lukaku,2
90,K. Manolas,2
91,Neto,2
92,D. Alaba,2
93,M. Icardi,2
94,Carvajal,2
95,H. Ziyech,2
96,Z. Ibrahimović,1
97,A. Gómez,2
98,G. Higuaín,2
99,B. Matuidi,1
100,G. Bale,2
101,Marcelo,2
102,A. Witsel,2
103,Alex Sandro,2
104,Iago Aspas,2
105,Koke,2
106,J. Rodríguez,2
107,Allan,2
108,J. Sancho,2
109,K. Havertz,2
110,O. Dembélé,2
111,Kepa,2
112,João Cancelo,2
113,D. Alli,2
114,L. Hernández,2
115,Arthur,2
116,M. Depay,2
117,L. Goretzka,2
118,J. Brandt,2
119,K. Coman,2
120,S. Gnabry,2
121,N. Fekir,2
122,B. Leno,1
123,Luis Alberto,2
124,Alex Telles,2
125,J. Pavlenka,1
126,S. de Vrij,2
127,Felipe Anderson,2
128,Pepe,1
129,João Moutinho,1
130,S. Ruffier,1
131,S. Sirigu,1
132,M. Hamšík,1
133,Sokratis,1
134,Lucas Leiva,1
135,M. Özil,2
136,Javi Martínez,1
137,Y. Sommer,1
138,E. Džeko,1
139,G. Wijnaldum,2
140,I. Perišić,1
141,M. Mandžukić,1
142,A. Vidal,1
143,J. Boateng,1
144,Azpilicueta,1
145,José Callejón,1
146,I. Gündoğan,2
147,Paulinho,1
148,K. Walker,1
149,Canales,2
150,Douglas Costa,2
151,Pizzi,2
152,D. Tadić,1
153,J. Iličić,1
154,R. Mahrez,2
155,E. Višća,2
156,Felipe,1
157,Fabián,2
158,A. Romagnoli,2
159,G. Lo Celso,1
160,T. Alexander-Arnold,2
161,L. Jović,2
162,A. Milik,2
163,A. Martial,2
164,Anderson Talisca,2
165,J. Tah,2
166,C. Tolisso,2
167,Pau López,1
168,Gonçalo Guedes,2
169,N. Pépé,2
170,M. Akanji,2
171,M. Rashford,2
172,J. Stones,2
173,A. Rabiot,2
174,Grimaldo,2
175,T. Werner,2
176,T. Lemar,2
177,D. Sánchez,2
178,Marco Asensio,2
179,L. Digne,2
180,J. Draxler,2
181,J. Pickford,1
182,Y. Carrasco,2
183,Borja Iglesias,2
184,K. Casteels,1
185,W. Zaha,2
186,Paco Alcácer,2
187,Morata,1
188,S. Haller,2
189,William Carvalho,2
190,F. Bernardeschi,2
191,D. Djené,2
192,Oscar,1
193,K. Trapp,1
194,Bartra,2
195,Pablo Sarabia,2
196,J. Cillessen,1
197,Lucas Moura,2
198,F. Thauvin,2
199,Jorginho,2
200,G. Buffon,0
201,Casillas,0
202,R. Jarstein,1
203,V. Kompany,1
204,Raúl Albiol,1
205,F. Quagliarella,1
206,K. Schmeichel,1
207,Falcao,1
208,Miranda,1
209,C. Vela,1
210,E. Garay,1
211,Rui Patrício,1
212,R. Nainggolan,0
213,E. Banega,1
214,Diego Costa,1
215,S. Khedira,1
216,David Luiz,1
217,M. Kruse,1
218,J. Henderson,1
219,G. Sigurðsson,1
220,A. Ramsey,1
221,Illarramendi,1
222,D. Blind,1
223,L. Hrádecký,1
224,N. Otamendi,1
225,J. Cuadrado,1
226,I. Gueye,1
227,K. Kampl,1
228,Rodrigo,2
229,C. Aránguiz,1
230,W. Ben Yedder,1
231,F. Acerbi,1
232,Danilo Pereira,1
233,A. Kramarić,1
234,Louri Beretta,2
235,Josué Chiamulera,1
236,Ronaldo Cabrais,1
237,Oyarzabal,2
238,L. Bailey,2
239,Gabriel Jesus,2
240,M. Kovačić,2
241,A. Belotti,2
242,T. Strakosha,1
243,N. Keïta,2
244,L. Torreira,2
245,Rúben Neves,2
246,P. Kimpembe,1
247,S. Bergwijn,1
248,A. Onana,1
249,Nélson Semedo,2
250,A. Areola,1
251,M. Perin,1
252,D. Rugani,1
253,A. Correa,2
254,Iñaki Williams,2
255,H. Lozano,1
256,Gelson Martins,2
257,B. Lecomte,1
258,T. Partey,2
259,K. Demirbay,1
260,J. Matip,1
261,Suso,1
262,S. Savić,1
263,A. Rüdiger,1
264,Pacheco,1
265,Ricardo Pereira,1
266,N. Tagliafico,1
267,David Soria,1
268,Sergio Asenjo,1
269,Muniain,2
270,M. Götze,1
271,T. Delaney,1
272,O. Baumann,1
273,Willian José,2
274,Sergi Roberto,1
275,N. Schulz,1
276,K. Volland,1
277,Nacho Fernández,1
278,Gabriel Paulista,1
279,J. Roussillon,1
280,H. Maguire,1
281,T. Hazard,1
282,E. Forsberg,1
283,F. Kostić,1
284,M. Politano,1
285,Rafa,2
286,Pepe Reina,0
287,D. De Rossi,0
288,Aduriz,1
289,Jesús Navas,1
290,Santi Cazorla,1
291,H. Herrera,1
292,L. Biglia,1
293,L. Fabiański,1
294,E. Viviano,1
295,Juan Mata,1
296,O. Giroud,1
297,S. Kjær,1
298,Willian,1
299,V. Ćorluka,1
300,M. Arnautović,1
301,A. Sánchez,1
302,Giuliano,1
303,A. Kolarov,1
304,M. Balotelli,1
305,Marlos,1
306,Taison,1
307,B. Dost,1
308,G. Bonaventura,1
309,Pedro,1
310,L. de Jong,1
311,S. El Shaarawy,1
312,Ander Herrera,1
313,X. Shaqiri,1
314,Mário Fernandes,1
315,S. Coates,1
316,C. Bakambu,1
317,T. Meunier,1
318,K. Bellarabi,1
319,J. Lingard,1
320,Q. Promes,1
321,J. Vardy,1
322,D. Zapata,0
323,Morales,1
324,Raphaelito Anjos,1
325,Juiano Mestres,1
326,Rosberto Dourado,1
327,E. Schetino,0
328,J. Sildero,0
329,L. Martínez,1
330,H. Aouar,2
331,T. Ndombele,2
332,Éder Militão,1
333,A. Cragno,1
334,D. van de Beek,1
335,V. Lindelöf,1
336,Dani Ceballos,0
337,Pablo Fornals,1
338,E. Can,1
339,Gayà,1
340,David Neres,1
341,P. Zieliński,1
342,G. Rulli,0
343,G. Xhaka,1
344,Rafinha,1
345,G. Kondogbia,1
346,M. Sabitzer,1
347,L. Shaw,1
348,J. Martínez,1
349,A. Doucouré,1
350,W. Ndidi,1
351,T. Horn,1
352,W. Orban,1
353,A. Plea,1
354,Y. Poulsen,1
355,R. Fraser,1
356,M. Ginter,1
357,R. Guerreiro,1
358,João Mário,1
359,Thiago Mendes,1
360,A. Izzo,1
361,M. Brozović,1
362,A. Ljajić,1
363,J. Corona,1
364,Jordi Masip,1
365,T. Vaclík,1
366,L. Milivojević,1
367,Gerard Moreno,1
368,W. Weghorst,1
369,Quaresma,1
370,J. Mathieu,0
371,J. Milner,1
372,L. López,0
373,B. Gomis,1
374,M. Dembélé,1
375,Cesc Fàbregas,1
376,A. Consigli,1
377,L. Koscielny,1
378,Jardel,1
379,Renato Augusto,1
380,José Fonte,0
381,A. Guardado,1
382,L. Piszczek,0
383,K. Gameiro,1
384,D. Payet,1
385,Beñat,1
386,Adán,1
387,B. Höwedes,1
388,F. Muslera,1
389,M. Sissoko,1
390,M. Parolo,1
391,Fernando,1
392,N. Gaitán,1
393,S. Giovinco,1
394,Luiz Gustavo,1
395,N. Nkoulou,1
396,N. Matić,1
397,Marcos Alonso,1
398,H. Mkhitaryan,1
399,André Almeida,1
400,A. Florenzi,1
401,E. Zahavi,1
402,F. Vázquez,1
403,Lucas Vázquez,1
404,Dani García,1
405,M. Acuña,1
406,Laure Santeiro,1
407,J. Frendado,0
408,S. Ardero,0
409,L. Dálves,0
410,S. Mandíquez,0
411,João Félix,2
412,N. Barella,0
